ANNEE,C_REGION,L_REGION,C_DEPT,N_DEPT,C_TYP_REG_DECHET,L_TYP_REG_DECHET,TONNAGE_OMA_T,POPULATION,RATIO_OMA
2009,27,Bourgogne-Franche-Comté,70,Haute-Saône,08A,Ordures ménagères résiduelles,56174.14644,239194,234.84764
2009,27,Bourgogne-Franche-Comté,70,Haute-Saône,08B,"Emballages, journaux-magazines",17974.25518,239194,75.145092
2009,27,Bourgogne-Franche-Comté,70,Haute-Saône,08C,Verre,10183.91697,239194,42.575971
2009,27,Bourgogne-Franche-Comté,71,Saône-et-Loire,08A,Ordures ménagères résiduelles,128157.23525,554720,231.030493
2009,27,Bourgogne-Franche-Comté,71,Saône-et-Loire,08B,"Emballages, journaux-magazines",28471.00256,554720,51.324997
2009,27,Bourgogne-Franche-Comté,71,Saône-et-Loire,08C,Verre,21239.51518,554720,38.288713
2009,27,Bourgogne-Franche-Comté,71,Saône-et-Loire,08D,Déchets de produits alimentaires,3170,554720,5.714594
2009,27,Bourgogne-Franche-Comté,89,Yonne,08A,Ordures ménagères résiduelles,106406.49632,343377,309.882421
2009,27,Bourgogne-Franche-Comté,89,Yonne,08B,"Emballages, journaux-magazines",12302.99222,343377,35.8294
2009,27,Bourgogne-Franche-Comté,89,Yonne,08C,Verre,11619.39712,343377,33.8386
2009,27,Bourgogne-Franche-Comté,90,Territoire-de-Belfort,08A,Ordures ménagères résiduelles,41201.9199,142461,289.215433
2009,27,Bourgogne-Franche-Comté,90,Territoire-de-Belfort,08B,"Emballages, journaux-magazines",5928.88939,142461,41.617631
2009,27,Bourgogne-Franche-Comté,90,Territoire-de-Belfort,08C,Verre,4302.16506,142461,30.198896
2009,53,Bretagne,22,Cotes-d'Armor,08A,Ordures ménagères résiduelles,158002.93221,587519,268.932463
2009,53,Bretagne,22,Cotes-d'Armor,08B,"Emballages, journaux-magazines",26722.67714,587519,45.483936
2009,53,Bretagne,22,Cotes-d'Armor,08C,Verre,29234.81412,587519,49.759776
2009,53,Bretagne,29,Finistère,08A,Ordures ménagères résiduelles,248509.99129,893914,278.002124
2009,53,Bretagne,29,Finistère,08B,"Emballages, journaux-magazines",47470.04605,893914,53.103593
2009,53,Bretagne,29,Finistère,08C,Verre,37543.42444,893914,41.998922
2009,53,Bretagne,35,Ille-et-Vilaine,08A,Ordures ménagères résiduelles,221068.37652,977449,226.168707
2009,53,Bretagne,35,Ille-et-Vilaine,08B,"Emballages, journaux-magazines",52087.9822,977449,53.289718
2009,53,Bretagne,35,Ille-et-Vilaine,08C,Verre,38965.33998,977449,39.86432
2009,53,Bretagne,56,Morbihan,08A,Ordures ménagères résiduelles,181685.29079,716182,253.685921
2009,53,Bretagne,56,Morbihan,08B,"Emballages, journaux-magazines",38640.18322,716182,53.953022
2009,53,Bretagne,56,Morbihan,08C,Verre,37142.4052,716182,51.861684
2009,53,Bretagne,56,Morbihan,08D,Déchets de produits alimentaires,7463,716182,10.420535
2009,24,Centre-Val de Loire,18,Cher,08A,Ordures ménagères résiduelles,81841.7175,311022,263.138033
2009,24,Centre-Val de Loire,18,Cher,08B,"Emballages, journaux-magazines",15611.78556,311022,50.195116
